stock_code,champion,champion_mase,champion_wape,baseline_mase,improvement_pct
85007,moving_average,0.23076923076923078,40.0,2.4230769230769234,90.47619047619048
85002,sarima,0.2474485912401224,37.11728868601836,1.0222222222222221,75.79307259607498
85006,naive,0.3214285714285714,150.0,1.0178571428571428,68.42105263157895
85000A,naive,0.3633720930232558,100.0,0.7630813953488372,52.38095238095239
85005,sarima,0.6961251060300603,46.14314988542114,1.221264367816092,42.99963837683271
85010,moving_average,0.43200000000000005,42.857142857142854,0.7200000000000001,40.0
85008A,naive,0.7808219178082192,82.6086956521739,1.1506849315068495,32.14285714285715
85004A,sarima,0.4115037094828151,60.201468609522955,0.569620253164557,27.758237668572463
85009,naive,0.5714285714285714,41.66666666666667,0.7428571428571429,23.076923076923084
85003,moving_average,0.65625,73.68421052631578,0.84375,22.22222222222222
85001,seasonal_naive,0.2872340425531915,52.94117647058824,0.2872340425531915,0.0
85011,seasonal_naive,0.199468085106383,60.0,0.199468085106383,0.0
